Day of Week,Name of Org,Time of Day,Address
Sunday,Awaken City Church,800,"200 N Elm St, Greensboro, NC 27401"
Sunday,Potter's House,1030-1230,305 W Lee St Greensboro
Sunday,Neighbors Under the Bridge,1700,300 Spring Garden St.
Monday,Chicken Lady and Friends,730,"200 N Elm St, Greensboro, NC 27401"
Monday,Potter's House,1030-1230,305 W. Lee Street
Monday,Interactive Resource Center,1630,407 E. Washington Street
Tuesday,Grace United Methodist Church,800,438 West Friendly Avenue
Tuesday,Potter's House,1030-1230,305 W. Lee Street
Tuesday,First Presbyterian Church,1800,617 N Elm St
Wednesday,Potter's House,700,305 W. Lee Street
Wednesday,Potter's House,1030-1230,305 W. Lee Street
Wednesday,New Birth Sounds of Thunder Christian Center,1600-1800,2300 S. Elm/Eugene Street
Thursday,Potter's House,1030-1230,305 W. Lee Street
Thursday,First Presbyterian Church,1800,617 N Elm St
Friday,Potter's House,1030-1230,305 W. Lee St
Friday,Neighbors Under the Bridge,1800,300 Spring Garden St
Saturday,Burrito Bikers,800,"200 N Elm St, Greensboro, NC 27401"
Saturday,Potter's House,1030-1230,305 W. Lee Street
Saturday,16 Cents Ministry,1800,300 Spring Garden St
