CensusTract,State,County,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,Urban,Rural,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,HUNVFlag,GroupQuartersFlag,OHU2010,NUMGQTRS,PCTGQTRS,LowIncomeTracts,POP2010,UATYP10,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lahunvhalf,lahunvhalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lahunv1,lahunv1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lahunv10,lahunv10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lahunv20,lahunv20share
37001020100,NC,Alamance,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1804,61,0.015609,1,3908,U,3436.63,0.879384,1225.44,0.313571,778.462,0.862084,474.094,0.892832,249.337,0.138213,933.963,0.238987,295.569,0.0756318,166.817,0.184736,131.467,0.247584,86.8314,0.0481327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37001020200,NC,Alamance,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1556,90,0.0216763,1,4152,U,3403.31,0.81968,1960.13,0.472094,919.403,0.851299,418.711,0.825861,148.268,0.0952878,1391.72,0.335194,815.93,0.196515,364.804,0.337782,169.49,0.334299,71.7717,0.0461257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37001020300,NC,Alamance,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,2782,358,0.0444003,1,8063,U,5796.09,0.71885,3055.29,0.378927,1711.36,0.730103,928.619,0.70725,135.221,0.0486057,1495.24,0.185444,786.518,0.0975465,402.462,0.171699,336.723,0.256453,42.8783,0.0154128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37001020400,NC,Alamance,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,2297,84,0.0138637,1,6059,U,6059,1,3378.54,0.557606,1658,1,784,1,325.745,0.141813,5945.43,0.981257,3308.75,0.546089,1631.52,0.98403,766.582,0.977783,320.439,0.139503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37001020501,NC,Alamance,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1409,0,0,0,3575,U,2677.42,0.74893,1125.04,0.314696,525.081,0.708612,352.772,0.728868,11.9161,0.00845711,1098.76,0.307345,474.164,0.132633,265.694,0.358562,130.052,0.268702,0.150337,0.000106697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37001020502,NC,Alamance,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1328,167,0.0441565,1,3782,U,2826.43,0.747338,1792.54,0.473966,830.286,0.734767,236.502,0.699709,112.268,0.0845394,895.786,0.236855,568.009,0.150187,221.716,0.196208,83.7629,0.247819,28.096,0.0211567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37001020601,NC,Alamance,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1360,0,0,0,3234,U,2265.08,0.700395,419.153,0.129608,404.986,0.654258,651.927,0.74336,17.0247,0.0125182,315.963,0.0977004,32.0326,0.00990494,61.6176,0.0995438,77.2387,0.0880715,1.68074,0.00123584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37001020602,NC,Alamance,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1140,51,0.0211268,0,2414,U,1414.76,0.586063,211.628,0.0876671,220.312,0.511165,449.305,0.729392,41.4111,0.0363255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37001020701,NC,Alamance,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,2213,14,0.003098,0,4519,U,1687.33,0.373385,222.569,0.0492518,321.81,0.387257,350.906,0.323416,24.6745,0.0111498,64.4213,0.0142556,4.46484,0.000988015,19.8087,0.0238372,5.86683,0.00540722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37001020702,NC,Alamance,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,2137,0,0,0,4742,U,3938.25,0.830504,1431.56,0.30189,928.592,0.826886,481.94,0.804574,103.405,0.048388,657.193,0.13859,200.771,0.0423389,158.607,0.141235,84.4448,0.140976,19.0844,0.00893049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37001020801,NC,Alamance,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,644,0,0,1,1450,U,860.873,0.593705,319.287,0.220198,160.973,0.524341,194.991,0.679411,0,0,732.122,0.504912,274.822,0.189532,131.284,0.427636,175.57,0.611741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37001020802,NC,Alamance,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,2357,28,0.0047806,1,5857,U,5149.68,0.879234,3123.09,0.533223,1389.83,0.897824,579.495,0.835007,179.138,0.0760026,2244.12,0.383151,1262.22,0.215506,555.877,0.359094,263.135,0.379157,70.5225,0.0299204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37001020901,NC,Alamance,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1466,13,0.0036282,0,3583,U,1970.36,0.549918,1015.31,0.283369,594.779,0.652885,208.675,0.395967,23.5324,0.0160521,637.285,0.177864,357.093,0.0996631,208.78,0.229176,78.1679,0.148326,3.02546,0.00206375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37001020902,NC,Alamance,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1341,6,0.0017751,0,3380,U,3367.21,0.996215,892.878,0.264165,830.871,0.996249,531.553,0.997285,0,0,2537.03,0.750601,695.385,0.205735,642.976,0.770954,404.47,0.758855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37001021000,NC,Alamance,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,1535,18,0.0048387,1,3720,U,1771.68,0.476259,1126.21,0.302745,504.142,0.494257,209.883,0.462297,128.584,0.0837682,347.349,0.0933733,189.488,0.0509375,99.3929,0.097444,26.9141,0.0592822,21.8551,0.0142379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37001021101,NC,Alamance,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1105,6,0.0022489,0,2668,U,2239.93,0.839555,721.039,0.270254,514.911,0.778987,370.453,0.851616,36.1137,0.0326821,1423.32,0.533476,485.687,0.182041,340.184,0.514651,212.747,0.489074,20.8312,0.0188517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37001021102,NC,Alamance,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1365,187,0.0563593,0,3318,U,2824.35,0.851222,878.383,0.264733,552.004,0.820215,548.776,0.910077,39.4367,0.0288914,1843.61,0.555638,526.35,0.158635,364.865,0.542147,341.132,0.565725,31.4542,0.0230434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37001021201,NC,Alamance,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,2088,6,0.0011424,0,5252,U,4727.57,0.900146,2071.79,0.394476,1172.06,0.882574,667.04,0.902625,205.871,0.0985971,3069,0.584349,1294.56,0.246489,749.885,0.564673,406.207,0.549671,141.434,0.0677365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37001021204,NC,Alamance,0,0,0,0,1,0,1,1,1,1,1,0,0,0,0,1615,103,0.0240654,0,4280,U,4144.19,0.968268,1269.59,0.296632,1038.68,0.975289,581.841,0.963314,25.5285,0.0158071,3965.58,0.926537,1264.06,0.295342,996.255,0.935451,560.628,0.928191,25.5285,0.0158071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37001021205,NC,Alamance,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1960,19,0.0040984,1,4636,U,3312.91,0.714606,1314.66,0.283576,822.751,0.702006,446.79,0.76768,36.3904,0.0185666,1403.31,0.302699,669.307,0.144372,309.249,0.263864,240.228,0.412763,10.383,0.00529747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37001021206,NC,Alamance,0,0,0,0,1,0,1,1,1,1,1,0,0,1,0,1668,5,0.0011574,0,4320,U,4015.96,0.929621,1592.29,0.368586,1119.61,0.930678,346.19,0.972445,166.59,0.0998744,2425.9,0.561551,1162.13,0.269013,634.346,0.527303,245.734,0.690263,108.394,0.0649845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37001021207,NC,Alamance,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1322,6,0.0019443,1,3086,R,1883.02,0.610181,641.005,0.207714,457.279,0.604067,267.499,0.594442,86.2682,0.0652558,855.307,0.277157,338.463,0.109677,201.049,0.265587,114.589,0.254643,41.9207,0.0317101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37001021300,NC,Alamance,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,2299,24,0.0039624,0,6057,R,6057,1,2052.09,0.338797,1417,1,888,1,197.779,0.0860283,5777.8,0.953905,2009.61,0.331784,1349.79,0.952569,834.521,0.939776,191.332,0.0832239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37001021400,NC,Alamance,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1096,17,0.0064151,0,2650,R,2650,1,704.665,0.265911,547,1,474,1,9.15966,0.00835736,2650,1,704.665,0.265911,547,1,474,1,9.15966,0.00835736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
