1,Harris Teeter,-80.019107000000005,35.984557000000002,Grocery,226 E Parris Ave,High Point,NC,27262
2,Apna Halal Meat & Grocery,-79.981381999999996,35.922077000000002,Market,,,,
3,Latham Quick Mart,-79.794101999999995,36.087632999999997,Market,484 Parkway,Greensboro,NC,27401
4,The Gate City Butcher & Gourmet Market,-79.797132000000005,36.133132000000003,Market,3608 N Elm St,Greensboro,NC,27455
5,Belco Food Store,-79.842909000000006,36.200572000000001,Market,988 NC 150,Greensboro,NC,27455
6,The Fresh Market,-79.825239999999994,36.087485000000001,Grocery,696 Green Valley Rd,Greensboro,NC,27408
7,Sheetz,-79.930468000000005,36.081147000000001,Convenience Store,7487 W Friendly Ave,Greensboro,NC,27410
8,Staley Grocery,-79.810444000000004,35.922789000000002,Market,5493 Randleman Rd,Greensboro,NC,27406
9,Tony's Food Mart,-79.962553000000000,36.129759000000000,Convenience Store,7788 Kenmont Rd,Greensboro,NC,27409
10,Hickory Farms,-79.830476000000004,36.085377999999999,Other,733 Friendly Center Rd,Greensboro,NC,27408
11,Greensboro Farmers Curb Market,-79.778858000000000,36.078425000000003,Market,613 E Lindsay St,Greensboro,NC,27401
12,Jay's Mcadoo-Long Ent Inc,-79.776280999999997,36.049256999999997,Convenience Store,1983 Martin Luther King Jr Dr,Greensboro,NC,27406
13,Harris Teeter,-79.795569000000000,36.130842000000001,Grocery,,,,
14,Lowes Foods,-79.921043999999995,36.040593000000001,Grocery,,,,
15,Food Lion Grocery Store,-79.782328000000007,36.102750000000000,Grocery,529 E Cornwallis Dr,Greensboro,NC,27405
16,Harris Teeter,-79.875832000000003,36.118820999999997,Grocery,,,,
17,ALDI,-79.805631000000005,36.016151999999998,Grocery,424 W Vandalia Rd,Greensboro,NC,27406
18,Walmart Supercenter,-79.900869999999998,36.057873999999998,Grocery,,,,
19,Sam's Club,-79.899180000000001,36.057837999999997,Membership,,,,
20,Good Health Natural Products Inc,-79.861615999999998,36.067010000000003,Other,239 Pomona Dr,Greensboro,NC,27407
21,J P Food Mart Inc,-79.776599000000004,36.140402000000002,Convenience Store,1397 Lees Chapel Rd,Greensboro,NC,27455
22,Food Lion Grocery Store,-79.867435999999998,36.068337999999997,Grocery,4158 Spring Garden St,Greensboro,NC,27407
23,Harris Teeter,-79.866712000000007,36.147638999999998,Grocery,5111 NC 2338,Greensboro,NC,27410
24,ALDI,-79.883095999999995,36.110700000000001,Grocery,1519 New Garden Rd,Greensboro,NC,27410
25,Lowes Foods of Lake Townsend,-79.786961000000005,36.216895000000001,Grocery,5866 NC 1001,Greensboro,NC,27455
26,Harris Teeter,-79.867119000000002,36.071708999999998,Grocery,,,,
27,Food Lion Grocery Store,-79.757002999999997,36.075665999999998,Grocery,147 S English St,Greensboro,NC,27401
28,Walmart Supercenter,-79.799695000000000,36.002178999999998,Grocery,,,,
29,Food Lion Grocery Store,-79.792945000000003,36.040483999999999,Grocery,,,,
30,Southern Foods,-79.782272000000006,36.034443000000003,Market,282 E J J Dr,Greensboro,NC,27406
31,Euro Deli Mart,-79.957290000000000,36.072428000000002,Market,608 Hickory Ridge Dr,Greensboro,NC,27409
32,Carniceria El Rey Market,-79.859037000000001,36.036102999999997,Market,3729 Farmington Dr,Greensboro,NC,27407
